POST,Status Code,Response Size,city_id,change_latitude,current_latitude,type,newSearch,listType,response_time,datetime
/test/v1/systemNotiSettings,200,81,,,,,,,32.996 ms,12/Jul/2021:02:48:26 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,7.608 ms,12/Jul/2021:02:48:27 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,10.561 ms,12/Jul/2021:02:48:27 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.378 ms,12/Jul/2021:03:59:46 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.342 ms,12/Jul/2021:04:02:02 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.886 ms,12/Jul/2021:04:02:30 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.598 ms,12/Jul/2021:04:02:30 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.131 ms,12/Jul/2021:04:03:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.616 ms,12/Jul/2021:04:04:47 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.193 ms,12/Jul/2021:04:06:25 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.618 ms,12/Jul/2021:04:10:24 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.075 ms,12/Jul/2021:04:13:43 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.018 ms,12/Jul/2021:04:13:43 +0000
/test/v1/citySelect,200,13131,491,34.0522342,34.0522342,City,0.0,search,7.221 ms,12/Jul/2021:04:13:59 +0000
/test/v1/citySelect,200,12806,491,34.0522342,34.0522342,,,,7.069 ms,12/Jul/2021:04:13:59 +0000
/test/v1/citySelect,200,13131,491,34.0522342,34.0522342,City,0.0,search,7.333 ms,12/Jul/2021:04:14:00 +0000
/test/v1/citySelect,200,13131,,34.0522342,34.0522342,,,,6.138 ms,12/Jul/2021:04:14:20 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,10.419 ms,12/Jul/2021:04:14:22 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,13.826 ms,12/Jul/2021:04:14:22 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.865 ms,12/Jul/2021:04:15:33 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,9.076 ms,12/Jul/2021:04:15:43 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.768 ms,12/Jul/2021:04:15:43 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.977 ms,12/Jul/2021:04:17:12 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,13.067 ms,12/Jul/2021:04:17:21 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.470 ms,12/Jul/2021:04:17:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.418 ms,12/Jul/2021:04:19:25 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.835 ms,12/Jul/2021:04:19:33 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.847 ms,12/Jul/2021:04:19:34 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.200 ms,12/Jul/2021:04:20:49 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.348 ms,12/Jul/2021:04:20:51 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.880 ms,12/Jul/2021:04:20:51 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.249 ms,12/Jul/2021:04:22:01 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,7.054 ms,12/Jul/2021:04:22:03 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.823 ms,12/Jul/2021:04:22:04 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.110 ms,12/Jul/2021:04:22:41 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.923 ms,12/Jul/2021:04:22:44 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.608 ms,12/Jul/2021:04:22:45 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,7.134 ms,12/Jul/2021:04:23:23 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,10.086 ms,12/Jul/2021:04:23:24 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.471 ms,12/Jul/2021:04:23:24 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.558 ms,12/Jul/2021:04:24:00 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.407 ms,12/Jul/2021:04:24:02 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.484 ms,12/Jul/2021:04:24:02 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.965 ms,12/Jul/2021:04:25:29 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.635 ms,12/Jul/2021:04:25:37 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,4.890 ms,12/Jul/2021:04:25:37 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.956 ms,12/Jul/2021:04:26:19 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.081 ms,12/Jul/2021:04:26:20 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,4.866 ms,12/Jul/2021:04:26:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.033 ms,12/Jul/2021:04:27:11 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.958 ms,12/Jul/2021:04:27:13 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.350 ms,12/Jul/2021:04:27:13 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.833 ms,12/Jul/2021:04:28:17 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.375 ms,12/Jul/2021:04:28:19 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.708 ms,12/Jul/2021:04:28:19 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.192 ms,12/Jul/2021:04:29:04 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.892 ms,12/Jul/2021:04:29:16 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.386 ms,12/Jul/2021:04:29:16 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.575 ms,12/Jul/2021:04:30:36 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.260 ms,12/Jul/2021:04:30:40 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.166 ms,12/Jul/2021:04:30:40 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.174 ms,12/Jul/2021:04:34:49 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.006 ms,12/Jul/2021:04:35:07 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,8.396 ms,12/Jul/2021:04:35:07 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.968 ms,12/Jul/2021:04:36:35 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.704 ms,12/Jul/2021:04:36:54 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.153 ms,12/Jul/2021:04:36:54 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.754 ms,12/Jul/2021:04:42:39 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.182 ms,12/Jul/2021:04:42:48 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,6.266 ms,12/Jul/2021:04:42:48 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,9.470 ms,12/Jul/2021:04:43:49 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.800 ms,12/Jul/2021:04:43:52 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.104 ms,12/Jul/2021:04:43:52 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.956 ms,12/Jul/2021:05:01:44 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,8.219 ms,12/Jul/2021:05:02:40 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.000 ms,12/Jul/2021:05:03:49 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.119 ms,12/Jul/2021:05:08:51 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,6.524 ms,12/Jul/2021:05:09:06 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,7.192 ms,12/Jul/2021:05:09:06 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.961 ms,12/Jul/2021:05:11:40 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.969 ms,12/Jul/2021:05:11:42 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.337 ms,12/Jul/2021:05:11:42 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.990 ms,12/Jul/2021:05:13:06 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,4.741 ms,12/Jul/2021:05:13:13 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.356 ms,12/Jul/2021:05:13:14 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.965 ms,12/Jul/2021:05:14:02 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.405 ms,12/Jul/2021:05:14:03 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.795 ms,12/Jul/2021:05:14:04 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.803 ms,12/Jul/2021:05:15:14 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.150 ms,12/Jul/2021:05:15:21 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.938 ms,12/Jul/2021:05:15:21 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,5.839 ms,12/Jul/2021:05:18:15 +0000
/test/v1/citySelect,200,12812,427,25.2048493,25.2048493,,,,5.411 ms,12/Jul/2021:05:18:19 +0000
/test/v1/citySelect,200,13131,427,25.2048493,25.2048493,City,0.0,search,5.016 ms,12/Jul/2021:05:18:19 +0000
/test/v1/systemNotiSettings,200,81,,,,,,,6.224 ms,12/Jul/2021:05:22:44 +0000
